"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Feb 18 00:55:32 IST 2020","Tue Feb 18 00:55:34 IST 2020","1530","",": Register on the website","",": Register on the website","Then I expect that element ""#email_create"" becomes displayed","Then I expect that element ""#email_create"" becomes displayed",""
"passed","Tue Feb 18 00:55:37 IST 2020","Tue Feb 18 00:55:37 IST 2020","92","",": Register on the website","",": Register on the website","When I set ""B"" to the inputfield ""#lastname""","When I set ""B"" to the inputfield ""#lastname""",""
"passed","Tue Feb 18 00:55:36 IST 2020","Tue Feb 18 00:55:36 IST 2020","94","",": Register on the website","",": Register on the website","When I set ""123456"" to the inputfield ""#passwd""","When I set ""123456"" to the inputfield ""#passwd""",""
"passed","Tue Feb 18 00:55:37 IST 2020","Tue Feb 18 00:55:40 IST 2020","2935","",": Register on the website","",": Register on the website","When I click on the button ""#submitAccount""","When I click on the button ""#submitAccount""",""
"passed","Tue Feb 18 00:55:49 IST 2020","Tue Feb 18 00:55:51 IST 2020","2135","",": Checkout a product","",": Checkout a product","When I click on the button ""#SubmitLogin""","When I click on the button ""#SubmitLogin""",""
"passed","Tue Feb 18 00:55:31 IST 2020","Tue Feb 18 00:55:32 IST 2020","1412","",": Register on the website","",": Register on the website","When I click on the link ""Sign in""","When I click on the link ""Sign in""",""
"passed","Tue Feb 18 00:55:36 IST 2020","Tue Feb 18 00:55:37 IST 2020","83","",": Register on the website","",": Register on the website","When I set ""A"" to the inputfield ""#firstname""","When I set ""A"" to the inputfield ""#firstname""",""
"passed","Tue Feb 18 00:55:46 IST 2020","Tue Feb 18 00:55:48 IST 2020","2294","",": Checkout a product","",": Checkout a product","When I click on the link ""Sign in""","When I click on the link ""Sign in""",""
"passed","Tue Feb 18 00:55:37 IST 2020","Tue Feb 18 00:55:37 IST 2020","112","",": Register on the website","",": Register on the website","When I set ""9382989299"" to the inputfield ""#phone_mobile""","When I set ""9382989299"" to the inputfield ""#phone_mobile""",""
"passed","Tue Feb 18 00:55:37 IST 2020","Tue Feb 18 00:55:37 IST 2020","96","",": Register on the website","",": Register on the website","When I set ""MA Address"" to the inputfield ""#alias""","When I set ""MA Address"" to the inputfield ""#alias""",""
"passed","Tue Feb 18 00:55:34 IST 2020","Tue Feb 18 00:55:36 IST 2020","2049","",": Register on the website","",": Register on the website","Then I expect that element ""#customer_firstname"" becomes displayed","Then I expect that element ""#customer_firstname"" becomes displayed",""
"passed","Tue Feb 18 00:55:51 IST 2020","Tue Feb 18 00:55:51 IST 2020","86","",": Checkout a product","",": Checkout a product","When I set ""Shirts"" to the inputfield ""#search_query_top""","When I set ""Shirts"" to the inputfield ""#search_query_top""",""
"passed","Tue Feb 18 00:55:49 IST 2020","Tue Feb 18 00:55:49 IST 2020","76","",": Checkout a product","",": Checkout a product","When I set ""123456"" to the inputfield ""#passwd""","When I set ""123456"" to the inputfield ""#passwd""",""
"passed","Tue Feb 18 00:55:48 IST 2020","Tue Feb 18 00:55:49 IST 2020","536","",": Checkout a product","",": Checkout a product","Then I expect that element ""#email"" becomes displayed","Then I expect that element ""#email"" becomes displayed",""
"passed","Tue Feb 18 00:55:37 IST 2020","Tue Feb 18 00:55:37 IST 2020","86","",": Register on the website","",": Register on the website","When I set ""India"" to the inputfield ""#address1""","When I set ""India"" to the inputfield ""#address1""",""
"passed","Tue Feb 18 00:55:21 IST 2020","Tue Feb 18 00:55:31 IST 2020","9511","",": Register on the website","",": Register on the website","Given I open the url ""http://automationpractice.com/index.php""","Given I open the url ""http://automationpractice.com/index.php""",""
"passed","Tue Feb 18 00:55:37 IST 2020","Tue Feb 18 00:55:37 IST 2020","138","",": Register on the website","",": Register on the website","When I set ""Bangalore"" to the inputfield ""#city""","When I set ""Bangalore"" to the inputfield ""#city""",""
"passed","Tue Feb 18 00:55:40 IST 2020","Tue Feb 18 00:55:43 IST 2020","3142","",": Register on the website","",": Register on the website","When I click on the element "".logout""","When I click on the element "".logout""",""
"passed","Tue Feb 18 00:55:36 IST 2020","Tue Feb 18 00:55:36 IST 2020","69","",": Register on the website","",": Register on the website","When I set ""B"" to the inputfield ""#customer_lastname""","When I set ""B"" to the inputfield ""#customer_lastname""",""
"passed","Tue Feb 18 00:55:49 IST 2020","Tue Feb 18 00:55:49 IST 2020","99","",": Checkout a product","",": Checkout a product","When I set ""testp@gmail.com"" to the inputfield ""#email""","When I set ""testp@gmail.com"" to the inputfield ""#email""",""
"passed","Tue Feb 18 00:55:34 IST 2020","Tue Feb 18 00:55:34 IST 2020","62","",": Register on the website","",": Register on the website","When I click on the button ""#SubmitCreate""","When I click on the button ""#SubmitCreate""",""
"passed","Tue Feb 18 00:55:37 IST 2020","Tue Feb 18 00:55:37 IST 2020","53","",": Register on the website","",": Register on the website","When I select the 2nd option for element ""#uniform-id_state""","When I select the 2nd option for element ""#uniform-id_state""",""
"passed","Tue Feb 18 00:55:48 IST 2020","Tue Feb 18 00:55:48 IST 2020","16","",": Checkout a product","",": Checkout a product","Then I expect that the title is ""Login - My Store""","Then I expect that the title is ""Login - My Store""",""
"passed","Tue Feb 18 00:55:32 IST 2020","Tue Feb 18 00:55:32 IST 2020","13","",": Register on the website","",": Register on the website","Then I expect that the title is ""Login - My Store""","Then I expect that the title is ""Login - My Store""",""
"passed","Tue Feb 18 00:55:36 IST 2020","Tue Feb 18 00:55:36 IST 2020","99","",": Register on the website","",": Register on the website","When I set ""A"" to the inputfield ""#customer_firstname""","When I set ""A"" to the inputfield ""#customer_firstname""",""
